league,season,team,player,nation,pos,age,born,90s,att,pass_types_live,pass_types_dead,pass_types_fk,pass_types_tb,pass_types_sw,pass_types_crs,pass_types_ti,pass_types_ck,corner_kicks_in,corner_kicks_out,corner_kicks_str,outcomes_cmp,outcomes_off,outcomes_blocks
ENG-Premier League,2425,Brighton,Mats Wieffer,NED,"DF,MF",24.0,1999.0,11.3,,,,,,,14,,,,,,,,
ENG-Premier League,2425,Brighton,Matt O'Riley,DEN,MF,23.0,2000.0,10.4,,,,,,,50,,,,,,,,
ENG-Premier League,2425,Brighton,Pervis Estupiñán,ECU,DF,26.0,1998.0,26.7,,,,,,,119,,,,,,,,
ENG-Premier League,2425,Brighton,Simon Adingra,CIV,MF,22.0,2002.0,12.2,,,,,,,42,,,,,,,,
ENG-Premier League,2425,Brighton,Solly March,ENG,MF,30.0,1994.0,1.9,,,,,,,20,,,,,,,,
ENG-Premier League,2425,Brighton,Tariq Lamptey,GHA,"DF,MF",23.0,2000.0,9.6,,,,,,,28,,,,,,,,
ENG-Premier League,2425,Brighton,Yankuba Minteh,GAM,MF,20.0,2004.0,20.4,,,,,,,90,,,,,,,,
ENG-Premier League,2425,Brighton,Yasin Ayari,SWE,MF,20.0,2003.0,21.8,,,,,,,70,,,,,,,,
ENG-Premier League,2425,Chelsea,Axel Disasi,FRA,DF,26.0,1998.0,4.0,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Chelsea,Benoît Badiashile,FRA,DF,23.0,2001.0,3.7,,,,,,,1,,,,,,,,
ENG-Premier League,2425,Chelsea,Christopher Nkunku,FRA,"MF,FW",26.0,1997.0,10.2,,,,,,,6,,,,,,,,
ENG-Premier League,2425,Chelsea,Cole Palmer,ENG,MF,22.0,2002.0,35.5,,,,,,,145,,,,,,,,
ENG-Premier League,2425,Chelsea,Enzo Fernández,ARG,MF,23.0,2001.0,32.7,,,,,,,111,,,,,,,,
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22.0,2002.0,6.0,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Chelsea,Jadon Sancho,ENG,MF,24.0,2000.0,19.6,,,,,,,24,,,,,,,,
ENG-Premier League,2425,Chelsea,Joshua Acheampong,ENG,DF,18.0,2006.0,1.9,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Chelsea,João Félix,POR,MF,24.0,1999.0,4.1,,,,,,,0,,,,,,,,
ENG-Premier League,2425,Chelsea,Kiernan Dewsbury-Hall,ENG,MF,25.0,1998.0,2.9,,,,,,,2,,,,,,,,
ENG-Premier League,2425,Chelsea,Levi Colwill,ENG,DF,21.0,2003.0,35.0,,,,,,,12,,,,,,,,
