league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_starts,playing_time_min,90s,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,playing_time_90s
ITA-Serie A,2526,Roma,Mile Svilar,SRB,GK,25.0,1999.0,38,38,3420,38.0,31,0.82,138,107,77.5,23.0,4.0,11.0,18,47.4,1,1,0,0,0.0,
ITA-Serie A,2526,Sassuolo,Arijanet Muric,KVX,GK,26.0,1998.0,32,32,2880,32.0,43,1.34,161,118,73.3,12.0,6.0,14.0,6,18.8,6,5,1,0,16.7,
ITA-Serie A,2526,Sassuolo,Gioele Zacchi,ITA,GK,22.0,2003.0,1,0,8,0.1,0,0.0,0,0,,0.0,0.0,0.0,0,,0,0,0,0,,
ITA-Serie A,2526,Sassuolo,Stefano Turati,ITA,GK,23.0,2001.0,6,6,532,5.9,7,1.18,22,15,68.2,2.0,1.0,3.0,2,33.3,0,0,0,0,,
ITA-Serie A,2526,Torino,Alberto Paleari,ITA,GK,32.0,1992.0,29,29,2610,29.0,45,1.55,127,82,64.6,10.0,7.0,12.0,9,31.0,2,2,0,0,0.0,
ITA-Serie A,2526,Torino,Franco Israel,URU,GK,25.0,2000.0,9,9,810,9.0,18,2.0,42,24,57.1,2.0,2.0,5.0,3,33.3,2,2,0,0,0.0,
ITA-Serie A,2526,Udinese,Daniele Padelli,ITA,GK,39.0,1985.0,2,2,180,2.0,2,1.0,5,3,60.0,0.0,1.0,1.0,0,0.0,1,1,0,0,0.0,
ITA-Serie A,2526,Udinese,Maduka Okoye,NGA,GK,25.0,1999.0,30,30,2616,29.1,37,1.27,117,80,68.4,12.0,5.0,13.0,10,33.3,6,5,1,0,16.7,
ITA-Serie A,2526,Udinese,Razvan Sava,ROU,GK,23.0,2002.0,7,6,620,6.9,14,2.03,28,14,50.0,2.0,2.0,2.0,1,16.7,0,0,0,0,,
GER-Bundesliga,2425,Augsburg,Finn Dahmen,GER,GK,26.0,1998.0,19,19,1710,19.0,19,1.0,84,65,77.4,7.0,6.0,6.0,9,47.4,2,2,0,0,0.0,
GER-Bundesliga,2425,Augsburg,Nediljko Labrović,CRO,GK,24.0,1999.0,15,15,1350,15.0,32,2.13,74,42,56.8,4.0,4.0,7.0,2,13.3,3,3,0,0,0.0,
GER-Bundesliga,2425,Bayern Munich,Daniel Peretz,ISR,GK,24.0,2000.0,3,3,270,3.0,5,1.67,7,2,28.6,2.0,0.0,1.0,0,0.0,0,0,0,0,,
GER-Bundesliga,2425,Bayern Munich,Jonas Urbig,GER,GK,20.0,2003.0,8,8,720,8.0,12,1.5,28,16,57.1,4.0,3.0,1.0,2,25.0,0,0,0,0,,
GER-Bundesliga,2425,Bayern Munich,Manuel Neuer,GER,GK,38.0,1986.0,22,22,1980,22.0,15,0.68,46,30,67.4,18.0,4.0,0.0,13,59.1,2,1,0,1,0.0,
GER-Bundesliga,2425,Bayern Munich,Sven Ulreich,GER,GK,35.0,1988.0,1,1,90,1.0,0,0.0,0,0,,1.0,0.0,0.0,1,100.0,0,0,0,0,,
