season,competition,date,team,player,xg,x,y,situation,body_part,outcome,minute,source
2425,La Liga,2024-09-22 16:30:00,Barcelona,Eric Garcia,0.2388002574443817,97.5999984741211,58.799999237060554,From Corner,,saved,34,understat
2425,La Liga,2024-09-22 16:30:00,Barcelona,Jules Koundé,0.0437976904213428,82.80000305175781,28.499999999999996,Open Play,Right Foot,blocked,60,understat
2425,La Liga,2024-09-22 16:30:00,Barcelona,Lamine Yamal,0.0254195854067802,85.19999694824219,23.29999923706054,Open Play,Left Foot,post,16,understat
2425,La Liga,2024-09-22 16:30:00,Barcelona,Lamine Yamal,0.1239221319556236,90.4000015258789,40.200000762939446,Open Play,Left Foot,blocked,72,understat
2425,La Liga,2024-09-22 16:30:00,Barcelona,Pablo Torre,0.0415216758847236,80.19999694824219,37.0,Open Play,Left Foot,goal,57,understat
2425,La Liga,2024-09-22 16:30:00,Barcelona,Pedri,0.0592831671237945,88.19999694824219,40.4000015258789,From Corner,Left Foot,missed,17,understat
2425,La Liga,2024-09-22 16:30:00,Barcelona,Raphinha,0.0859944224357605,89.4000015258789,59.0,Open Play,,saved,4,understat
2425,La Liga,2024-09-22 16:30:00,Barcelona,Raphinha,0.498858243227005,91.6999969482422,52.09999847412109,Open Play,Right Foot,blocked,16,understat
2425,La Liga,2024-09-22 16:30:00,Barcelona,Raphinha,0.0459878705441951,78.0,37.0,Open Play,Left Foot,missed,62,understat
2425,La Liga,2024-09-22 16:30:00,Barcelona,Raphinha,0.4034579992294311,86.30000305175781,43.70000076293945,Open Play,Left Foot,saved,66,understat
2425,La Liga,2024-09-22 16:30:00,Barcelona,Raphinha,0.0661450996994972,84.19999694824219,65.4000015258789,Open Play,Left Foot,goal,74,understat
2425,La Liga,2024-09-22 16:30:00,Barcelona,Raphinha,0.4411676228046417,85.69999694824219,56.900001525878906,Open Play,Left Foot,goal,82,understat
2425,La Liga,2024-09-22 16:30:00,Barcelona,Robert Lewandowski,0.437705934047699,90.6999969482422,44.0,Open Play,Right Foot,goal,19,understat
2425,La Liga,2024-09-22 16:30:00,Barcelona,Robert Lewandowski,0.4319226443767547,95.19999694824219,56.29999923706055,Open Play,Right Foot,saved,28,understat
2425,La Liga,2024-09-22 16:30:00,Barcelona,Robert Lewandowski,0.6604969501495361,96.0,51.0,From Corner,Right Foot,goal,34,understat
2425,La Liga,2024-09-22 16:30:00,Barcelona,Robert Lewandowski,0.7432776093482971,88.5,50.0,,Right Foot,post,66,understat
2425,La Liga,2024-09-22 16:30:00,Villarreal,Ayoze Pérez,0.4979294538497925,90.80000305175781,43.0,Open Play,Right Foot,goal,37,understat
2425,La Liga,2024-09-22 16:30:00,Villarreal,Ayoze Pérez,0.4831338822841644,91.09999847412108,47.700000762939446,Open Play,Right Foot,missed,49,understat
2425,La Liga,2024-09-22 16:30:00,Villarreal,Daniel Parejo,0.0689506754279136,83.0999984741211,52.79999923706055,Open Play,Right Foot,missed,23,understat
2425,La Liga,2024-09-22 16:30:00,Villarreal,Logan Costa,0.1009248718619346,92.30000305175781,54.599998474121094,From Corner,,missed,48,understat
2425,La Liga,2024-09-22 16:30:00,Villarreal,Nicolas Pepe,0.2164663523435592,90.09999847412108,54.29999923706055,Open Play,,missed,5,understat
