,,,,nation,pos,age,Club,born,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
,,,,,,,,,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,
INT-World Cup,2026,Bosnia–Herz,Esmir Bajraktarevic,Bosnia–Herz,MF,21,1. PSV,2005,4,2,230,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia–Herz,Haris Tabaković,Bosnia–Herz,FW,31,2. Schalke 04,1994,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia–Herz,Ivan Bašić,Bosnia–Herz,MF,24,1. FC Astana,2002,3,2,179,2.0,0,1,1,0,0,0,0,0,0.0,0.5,0.5,0.0,0.5
INT-World Cup,2026,Bosnia–Herz,Ivan Šunjić,Bosnia–Herz,MF,29,1. Pafos FC,1996,4,3,196,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia–Herz,Jovo Lukić,Bosnia–Herz,FW,27,1. Univ. Cluj,1998,2,1,67,0.7,1,0,1,1,0,0,1,0,1.34,0.0,1.34,1.34,1.34
INT-World Cup,2026,Bosnia–Herz,Kerim Alajbegović,Bosnia–Herz,MF,18,1. RB Salzburg,2007,4,3,277,3.1,1,0,1,1,0,0,0,0,0.32,0.0,0.32,0.32,0.32
INT-World Cup,2026,Bosnia–Herz,Nikola Katić,Bosnia–Herz,DF,29,2. Schalke 04,1996,4,4,317,3.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia–Herz,Nikola Vasilj,Bosnia–Herz,GK,30,1. St Pauli,1995,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia–Herz,Samed Baždar,Bosnia–Herz,FW,22,1. Gladbach,2004,1,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia–Herz,Sead Kolašinac,Bosnia–Herz,DF,32,1. Atalanta,1993,4,4,337,3.7,0,1,1,0,0,0,0,0,0.0,0.27,0.27,0.0,0.27
INT-World Cup,2026,Bosnia–Herz,Stjepan Radeljić,Bosnia–Herz,DF,28,1. Rijeka,1997,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Bosnia–Herz,Tarik Muharemovic,Bosnia–Herz,DF,23,1. Sassuolo,2003,3,3,259,2.9,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0
