league,season,game,league_id,season_id,game_id,date,home_team_id,away_team_id,home_team,away_team,away_team_code,home_team_code,away_points,away_expected_points,away_goals,away_xg,away_np_xg,away_np_xg_difference,away_ppda,away_deep_completions,home_points,home_expected_points,home_goals,home_xg,home_np_xg,home_np_xg_difference,home_ppda,home_deep_completions
ESP-La Liga,2526,2026-01-31 Elche-Barcelona,4,2025,29373,2026-01-31 20:00:00,207,148,Elche,Barcelona,BAR,ELC,3,2.9955999999999996,3,7.11049,7.11049,6.27149,8.037037037037036,24,0,0.0028000000000000004,1,0.839,0.839,-6.27149,15.545454545454545,6
ESP-La Liga,2526,2026-02-07 Barcelona-Mallorca,4,2025,29381,2026-02-07 15:15:00,148,239,Barcelona,Mallorca,MAL,BAR,0,0.4131,0,1.01087,1.01087,-1.47081,17.333333333333332,2,3,2.4137999999999997,3,2.48168,2.48168,1.47081,7.588235294117647,8
ESP-La Liga,2526,2026-02-16 Girona-Barcelona,4,2025,29395,2026-02-16 20:00:00,223,148,Girona,Barcelona,BAR,GIR,0,1.2641999999999998,1,2.69655,1.95328,-0.93642,7.833333333333333,13,3,1.5152999999999999,2,2.8897,2.8897,0.93642,22.88235294117647,8
ESP-La Liga,2526,2026-02-22 Barcelona-Levante,4,2025,29401,2026-02-22 15:15:00,148,151,Barcelona,Levante,LEV,BAR,0,0.0309,0,0.602552,0.602552,-3.6414679999999997,23.555555555555557,3,3,2.9481,3,4.24402,4.24402,3.6414679999999997,6.956521739130435,15
ESP-La Liga,2526,2026-02-28 Barcelona-Villarreal,4,2025,29408,2026-02-28 15:15:00,148,154,Barcelona,Villarreal,VIL,BAR,0,0.24530000000000002,1,1.36182,1.36182,-2.1856099999999996,26.125,8,3,2.6507,4,3.54743,3.54743,2.1856099999999996,4.358974358974359,15
ESP-La Liga,2526,2026-03-07 Athletic Club-Barcelona,4,2025,29418,2026-03-07 20:00:00,147,148,Athletic Club,Barcelona,BAR,ATH,3,0.785,1,0.560009,0.560009,-0.48697100000000004,8.9375,2,0,1.8722,0,1.04698,1.04698,0.48697100000000004,16.821428571428573,5
ESP-La Liga,2526,2026-03-15 Barcelona-Sevilla,4,2025,29430,2026-03-15 15:15:00,148,138,Barcelona,Sevilla,SEV,BAR,0,0.11859999999999998,2,1.04304,1.04304,-1.3342999999999998,17.48,7,3,2.8255,5,3.8639,2.37734,1.3342999999999998,9.958333333333334,6
ESP-La Liga,2526,2026-03-22 Barcelona-Rayo Vallecano,4,2025,29441,2026-03-22 13:00:00,148,145,Barcelona,Rayo Vallecano,RVL,BAR,0,1.5952,0,2.19631,2.19631,0.27425999999999995,12.192307692307692,3,3,1.1622999999999999,1,1.92205,1.92205,-0.27425999999999995,3.902439024390244,7
ESP-La Liga,2526,2026-04-04 Atletico Madrid-Barcelona,4,2025,29449,2026-04-04 19:00:00,143,148,Atletico Madrid,Barcelona,BAR,ATL,3,2.542,2,2.68584,2.68584,1.7665539999999997,10.526315789473685,13,0,0.31479999999999997,1,0.919286,0.919286,-1.7665539999999997,16.36842105263158,3
ESP-La Liga,2526,2026-04-11 Barcelona-Espanyol,4,2025,29459,2026-04-11 16:30:00,148,141,Barcelona,Espanyol,ESP,BAR,0,0.2439,1,1.13134,1.13134,-2.1765499999999998,15.515151515151516,5,3,2.6529000000000003,4,3.30789,3.30789,2.1765499999999998,4.791666666666667,7
ESP-La Liga,2526,2026-04-22 Barcelona-Celta Vigo,4,2025,29479,2026-04-22 19:30:00,148,152,Barcelona,Celta Vigo,CEL,BAR,0,0.9427999999999999,0,1.07392,1.07392,0.27269199999999993,14.689655172413794,2,3,1.7672,1,1.54451,0.801228,-0.27269199999999993,9.678571428571429,11
ESP-La Liga,2526,2026-04-25 Getafe-Barcelona,4,2025,29469,2026-04-25 14:15:00,142,148,Getafe,Barcelona,BAR,GET,3,2.4745,2,2.05171,2.05171,1.444046,4.533333333333333,4,0,0.3502,0,0.607664,0.607664,-1.444046,16.12,4
ESP-La Liga,2526,2026-05-02 Osasuna-Barcelona,4,2025,29488,2026-05-02 19:00:00,157,148,Osasuna,Barcelona,BAR,OSA,3,1.5606,2,1.56763,1.56763,0.2795000000000001,4.92,16,0,1.1643,1,1.28813,1.28813,-0.2795000000000001,23.571428571428573,2
ESP-La Liga,2526,2026-05-10 Barcelona-Real Madrid,4,2025,29500,2026-05-10 19:00:00,148,150,Barcelona,Real Madrid,RMA,BAR,0,0.49750000000000005,0,0.562101,0.562101,-1.1579190000000001,29.076923076923077,4,3,2.2861000000000002,2,1.72002,1.72002,1.1579190000000001,11.565217391304348,11
ESP-La Liga,2526,2026-05-13 Alaves-Barcelona,4,2025,29508,2026-05-13 19:30:00,158,148,Alaves,Barcelona,BAR,ALA,0,0.7101999999999999,0,0.356356,0.356356,-0.597114,3.625,5,3,1.9393,1,0.95347,0.95347,0.597114,17.347826086956523,2
ESP-La Liga,2526,2026-05-17 Barcelona-Real Betis,4,2025,29519,2026-05-17 17:00:00,148,153,Barcelona,Real Betis,BET,BAR,0,0.8789,1,0.985477,0.2422,-1.3572600000000001,19.47826086956522,6,3,1.8326000000000002,3,1.59946,1.59946,1.3572600000000001,13.555555555555555,10
ESP-La Liga,2526,2026-05-23 Valencia-Barcelona,4,2025,29534,2026-05-23 19:00:00,146,148,Valencia,Barcelona,BAR,VAL,0,0.9662999999999999,1,1.29336,1.29336,-0.5403099999999998,6.466666666666667,5,3,1.7685,3,1.83367,1.83367,0.5403099999999998,20.272727272727273,6
